pep_length	start_pos	hla	weight	w
8	4	HLA-B27:09	2.890e+00	2.223e-01
8	4	HLA-B35:01	3.135e+00	1.742e-01
8	4	HLA-B35:02	1.670e-01	1.670e-01
8	4	HLA-B35:03	5.546e-01	1.849e-01
8	4	HLA-B35:06	1.945e-01	1.945e-01
8	4	HLA-B35:08	6.918e-02	2.306e-02
8	4	HLA-B37:01	9.719e-01	1.620e-01
8	4	HLA-B39:01	3.889e+00	2.047e-01
8	4	HLA-B39:06	2.901e+00	1.706e-01
8	4	HLA-B39:09	3.884e-01	1.942e-01
8	4	HLA-B39:24	3.921e+00	2.063e-01
8	4	HLA-B40:01	4.348e+00	2.070e-01
8	4	HLA-B40:02	4.151e+01	1.701e-01
8	4	HLA-B41:04	4.875e-01	1.219e-01
8	4	HLA-B41:05	1.709e-01	8.545e-02
8	4	HLA-B41:06	1.074e-01	1.074e-01
8	4	HLA-B42:01	1.537e-01	1.537e-01
8	4	HLA-B44:02	2.615e+00	1.137e-01
8	4	HLA-B44:03	5.189e+00	1.853e-01
8	4	HLA-B44:08	1.293e-01	1.293e-01
8	4	HLA-B44:09	5.702e-01	9.503e-02
8	4	HLA-B45:01	7.872e-01	3.936e-01
8	4	HLA-B46:01	2.260e+00	1.413e-01
8	4	HLA-B47:01	6.888e-01	1.722e-01
8	4	HLA-B49:01	1.362e+00	3.404e-01
8	4	HLA-B50:01	1.012e+00	1.687e-01
8	4	HLA-B51:01	3.750e+01	1.582e-01
8	4	HLA-B51:08	2.578e+00	1.718e-01
8	4	HLA-B52:01	1.259e-02	1.259e-02
8	4	HLA-B54:01	3.097e+00	2.382e-01
8	4	HLA-B56:01	1.243e+00	2.071e-01
8	4	HLA-B57:01	1.569e+01	1.453e-01
8	4	HLA-B57:03	3.870e+00	9.213e-02
8	4	HLA-B58:01	5.990e+00	1.361e-01
8	4	HLA-B73:01	1.393e-01	1.393e-01
8	4	HLA-C01:02	5.406e+00	1.744e-01
8	4	HLA-C02:02	1.904e+00	8.655e-02
8	4	HLA-C03:03	4.047e+00	1.619e-01
8	4	HLA-C03:04	9.762e+00	1.842e-01
8	4	HLA-C04:01	1.660e+01	1.612e-01
8	4	HLA-C05:01	2.701e+01	1.731e-01
8	4	HLA-C06:02	3.132e+00	1.160e-01
8	4	HLA-C07:01	1.263e+00	1.263e-01
8	4	HLA-C07:02	2.959e+00	1.184e-01
8	4	HLA-C08:02	3.012e+01	1.848e-01
8	4	HLA-C12:02	7.604e-04	7.604e-04
8	4	HLA-C12:03	5.603e+00	1.751e-01
8	4	HLA-C14:02	1.566e+01	1.521e-01
8	4	HLA-C15:02	4.878e+00	1.435e-01
8	4	HLA-C16:01	1.960e+01	1.400e-01
8	4	HLA-C17:01	3.686e+00	1.474e-01
8	5	HLA-A01:01	1.228e+01	1.616e-01
8	5	HLA-A02:01	1.422e+01	1.563e-01
8	5	HLA-A02:03	6.527e-01	1.305e-01
8	5	HLA-A02:04	1.148e+00	1.913e-01
8	5	HLA-A02:05	3.980e-01	7.961e-02
8	5	HLA-A02:07	1.883e+00	1.569e-01
8	5	HLA-A03:01	3.223e+00	1.791e-01
8	5	HLA-A11:01	5.262e-01	1.754e-01
8	5	HLA-A23:01	1.537e-01	1.537e-01
8	5	HLA-A24:02	5.888e+00	1.784e-01
8	5	HLA-A24:06	1.243e-01	6.217e-02
8	5	HLA-A24:13	1.513e-03	5.043e-04
8	5	HLA-A26:01	1.444e-01	1.444e-01
8	5	HLA-A29:02	5.942e+00	1.165e-01
8	5	HLA-A31:01	8.931e-01	1.276e-01
8	5	HLA-A32:01	3.867e-01	1.934e-01
8	5	HLA-A66:02	7.285e-03	7.285e-03
8	5	HLA-A68:02	9.645e-01	1.072e-01
8	5	HLA-B07:02	2.611e+01	1.483e-01
8	5	HLA-B08:01	2.092e+01	9.777e-02
8	5	HLA-B13:01	1.417e-01	7.084e-02
8	5	HLA-B13:02	3.874e-01	1.937e-01
